,date,number,time,latitude,longitude,depth,magnitude,type,place
60,2010-03-08,11718,07:47:38,38.7518,40.0418,15.15,5.6,Mw,Elazig
121,1999-11-11,8714,14:41:26,40.7425,30.2422,17.9,5.6,Mw,Kocaeli
463,1931-07-12,922,22:24:00,39.5,26.0,35.0,5.6,MS,Canakkale
43,2011-10-25,12163,14:55:06,38.823,43.5857,17.44,5.6,Mw,Van
92,2004-08-11,9986,15:48:23,38.37,39.22,10.0,5.6,Mw,Elazig
414,1942-06-16,1187,05:42:34,40.8,27.8,20.0,5.6,MS,Tekirdag
49,2011-09-22,12071,03:22:33,39.6597,38.6777,7.18,5.6,Mw,Erzincan
192,1981-04-26,4783,14:13:29,36.547,30.685,72.8,5.6,Mw,Balikesir
114,2000-11-15,8995,15:05:39,38.4509,42.903999999999996,55.5,5.5,Mw,Van
167,1989-04-28,6426,13:30:21,36.995,28.101,20.8,5.5,Mw,Mugla
163,1990-07-18,6648,11:29:29,37.025999999999996,29.531,40.4,5.5,Mw,Burdur
269,1970-03-20,2907,08:50:04,36.9,33.5,33.0,5.5,mb,Mersin
276,1969-04-06,2734,03:49:35,38.467,26.444000000000003,15.2,5.5,MS,Izmir
95,2004-08-04,9971,03:01:08,36.8603,27.7535,10.0,5.5,Mw,Mugla
412,1942-10-28,1198,02:41:53,39.46,27.79,10.0,5.5,MS,Balikesir
102,2003-07-13,9753,01:48:23,38.3222,39.0356,10.0,5.5,Mw,Malatya
150,1994-05-24,7343,02:05:38,38.734,26.553,17.5,5.5,Mw,Izmir
418,1941-11-08,1178,12:16:00,39.7,39.7,10.0,5.5,MS,Erzincan
168,1989-04-27,6423,23:06:55,37.016,28.153000000000002,18.7,5.5,Mw,Mugla
430,1939-12-27,1117,02:48:34,39.99,38.14,50.0,5.5,MS,Sivas
233,1975-03-27,3818,05:15:07,40.422,26.147,3.3,5.5,mb,Edirne
450,1936-06-14,1044,17:01:37,36.64,35.85,70.0,5.5,MS,Adana
388,1946-02-21,1262,15:43:12,38.24,31.79,60.0,5.5,MS,Konya
484,1926-03-17,714,13:20:00,37.0,35.0,10.0,5.5,MS,Mersin
476,1928-07-15,823,09:33:33,38.05,27.32,10.0,5.5,MS,Izmir
397,1944-09-30,1241,04:13:19,41.11,34.87,10.0,5.5,MS,Corum
320,1963-03-11,1859,07:27:24,37.96,29.14,40.0,5.5,MS,Denizli
